Common_name,Ecoinvent_name,Ecoinvent_code,type_of_flow
"market for cement, Portland","market for cement, Portland",c46ab5baad1e4d4b9cb0de4023903e0c,technosphere
"treatment of scrap steel, inert material landfill","treatment of scrap steel, inert material landfill",cf7f26ae991edbd799d5372e8d71ad05,technosphere
"carbon dioxide, captured from natural gas, post, 200km pipeline, storage 1000m","carbon dioxide, captured from natural gas, post, 200km pipeline, storage 1000m",d2442e827e54406281dc6504bbd1ed1d,technosphere
"treatment of inert waste, sanitary landfill","treatment of inert waste, sanitary landfill",92bf1e4ffaefa423db9fc5bda0a755b3,technosphere
"steel production, converter, unalloyed","steel production, converter, unalloyed",397871a5d9454ea4b55de6ef3ca4c9a0,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",b0ab12d6f5a110346d0380e2cf848529,technosphere
"carbon dioxide, captured from natural gas, post, 200km pipeline, storage 1000m","carbon dioxide, captured from natural gas, post, 200km pipeline, storage 1000m",b591e48e44aa40789bc283b588f3ef60,technosphere
"carbon dioxide, captured from natural gas, post, 200km pipeline, storage 1000m","carbon dioxide, captured from natural gas, post, 200km pipeline, storage 1000m",34db3f431e634f04847162ee20153cfc,technosphere
market for hard coal,market for hard coal,85243c2af2fc68093e4d64ac120418aa,technosphere
"carbon dioxide, captured at wood burning power plant 20 MW post, pipeline 200km, storage 1000m","carbon dioxide, captured at wood burning power plant 20 MW post, pipeline 200km, storage 1000m",43a4ad1fa30041a6b586788efaa62e08,technosphere
"market for chlorine, liquid","market for chlorine, liquid",1ab0f90a11c5d7bb08e67af7a0ab39cd,technosphere
"carbon dioxide, captured from natural gas, post, 200km pipeline, storage 1000m","carbon dioxide, captured from natural gas, post, 200km pipeline, storage 1000m",379e869ba5bb4981b26ef88b5e2b6741,technosphere
"market for cement, Portland","market for cement, Portland",44c65e41693300dfe33f759b573354fd,technosphere
"steel production, converter, unalloyed","steel production, converter, unalloyed",89ed5130d8154b4a806b1c77237db3a1,technosphere
"steel production, electric, chromium steel 18/8","steel production, electric, chromium steel 18/8",c0f7b2ad5832419e9dea9ddd7e5326a2,technosphere
market for acetylene,market for acetylene,5ab180a9b9d14662293e4c881b0fa4de,technosphere
"market for biomass, used as fuel","market for biomass, used as fuel",31a0fcba52724f0f8b8ee6fd114bbba8,technosphere
market for light fuel oil,market for light fuel oil,b1014893cbcfa14a51b693172c39afe2,technosphere
"market for natural gas, high pressure","market for natural gas, high pressure",8f845b2aa52edd858f64f90a4a4e613d,technosphere
market for municipal solid waste,market for municipal solid waste,5768b201caabe42e436310850c104d13,technosphere
"carbon dioxide, captured from lignite, post, pipeline 200km, storage 1000m","carbon dioxide, captured from lignite, post, pipeline 200km, storage 1000m",43df17a58c2342fdaa020e057d67ce78,technosphere
"market for diesel, burned in diesel-electric generating set, 10MW","market for diesel, burned in diesel-electric generating set, 10MW",37d9662ef404489e944a134a5ba12647,technosphere
"carbon dioxide, captured from lignite, post, pipeline 200km, storage 1000m","carbon dioxide, captured from lignite, post, pipeline 200km, storage 1000m",e7b580f3dadf476b812584d0c413376b,technosphere
"market for geothermal power plant, 5.5MWel","market for geothermal power plant, 5.5MWel",9e4d8ca08e2944617753b14e542d49ae,technosphere
"market group for natural gas, high pressure","market group for natural gas, high pressure",8b883e9f5a9ca1152f67cf7a848b4b07,technosphere
"treatment of hazardous waste, hazardous waste incineration","treatment of hazardous waste, hazardous waste incineration",a128ca91860372c82a56283fd41e6790,technosphere
"market for steel, low-alloyed","market for steel, low-alloyed",1de67818830c40b7aa6d2e506cfb028d,technosphere
primary zinc production from concentrate,primary zinc production from concentrate,fbf51ee94d6b4481482b61d6913c4f59,technosphere
"transport, freight, lorry, unspecified, long haul","transport, freight, lorry, unspecified, long haul",6a679bb268fa4c02bfcc166a417042f4,technosphere
"carbon dioxide, captured from hard coal-fired power plant, post, pipeline 200km, storage 1000m","carbon dioxide, captured from hard coal-fired power plant, post, pipeline 200km, storage 1000m",0281b0b7100d4f299c30dc122dc3e426,technosphere
"market for steel, low-alloyed","market for steel, low-alloyed",7e30f4b099904bbcb8462fef853dadf1,technosphere
"market for biomass, used as fuel","market for biomass, used as fuel",f927d6cb9de443ffb29c30bcdb57a228,technosphere
"steel production, converter, low-alloyed","steel production, converter, low-alloyed",584fed40d46846b5a76ad88147fb918a,technosphere
market for lignite,market for lignite,a8d6b0a268ebacbef8074267b8a2460b,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",ce7a5f75a9a074672d14f7e10f098314,technosphere
"transport, freight, lorry, unspecified, long haul","transport, freight, lorry, unspecified, long haul",7a70315405314f0c9da7b51dee94f1cb,technosphere
"treatment of waste plastic, mixture, municipal incineration","treatment of waste plastic, mixture, municipal incineration",6d58bee68de2e3ded3409946d4b0f719,technosphere
"market for chlorine, liquid","market for chlorine, liquid",ad546108a91dce8a71c701017b108357,technosphere
"treatment of wood ash mixture, pure, landfarming","treatment of wood ash mixture, pure, landfarming",60488b657bfa7841b3b3f62ef24ae323,technosphere
"market for natural gas, high pressure","market for natural gas, high pressure",313ce26576d278626987f5b02508c843,technosphere
"transport, freight, lorry, unspecified, long haul","transport, freight, lorry, unspecified, long haul",758844f126974b6a913d018e8704854d,technosphere
"market for stone wool, packed","market for stone wool, packed",525632d789fee6bc5f2b71bf8ec206a5,technosphere
"market for natural gas, high pressure","market for natural gas, high pressure",8199af7517ca97f2be1c9f8d0352819a,technosphere
market for municipal solid waste,market for municipal solid waste,92fbd60597104517a1967f6eadd5113a,technosphere
"carbon dioxide, captured at wood burning power plant 20 MW post, pipeline 200km, storage 1000m","carbon dioxide, captured at wood burning power plant 20 MW post, pipeline 200km, storage 1000m",8e390c4c662f4ddeab820ead6fcafae5,technosphere
"market group for natural gas, high pressure","market group for natural gas, high pressure",297eecaf11559daad02cc531727b4f4e,technosphere
"steel production, converter, low-alloyed","steel production, converter, low-alloyed",f590fd6eba97466aa3c76f10eeffe6ee,technosphere
"transport, freight, lorry, unspecified, long haul","transport, freight, lorry, unspecified, long haul",30b76c02cebf4cee9d32ed598e90146e,technosphere
"carbon dioxide, captured from lignite, post, pipeline 200km, storage 1000m","carbon dioxide, captured from lignite, post, pipeline 200km, storage 1000m",53629bc0e909418cafdd53381cb9e289,technosphere
"market for biomass, used as fuel","market for biomass, used as fuel",590fcc525b644d7b8ccdb22f8809f0b4,technosphere
"market for natural gas, high pressure","market for natural gas, high pressure",68b2d61743d93e5dfb31be04120d5ade,technosphere
"aluminium, ingot, primary, import from Rest of Europe","aluminium, ingot, primary, import from Rest of Europe",105a8bedebbbcf8056f89dc294a48f2e,technosphere
"treatment of waste plastic, mixture, municipal incineration","treatment of waste plastic, mixture, municipal incineration",1f52df21ac7a2760d83bcd7054c245a6,technosphere
"carbon dioxide, captured from hard coal-fired power plant, post, pipeline 200km, storage 1000m","carbon dioxide, captured from hard coal-fired power plant, post, pipeline 200km, storage 1000m",1cecec76b7ad421a9f5f744109fd0ae0,technosphere
Electricity production_Concentrated_solar_power_ReEDS,Electricity production_Concentrated_solar_power_ReEDS,b7cbef92-673c-4d32-a6ef-914b0df15fe8,technosphere
"polystyrene production, high impact","polystyrene production, high impact",6208176fb51a05c31e530a19ab632311,technosphere
"market for diesel, burned in diesel-electric generating set, 10MW","market for diesel, burned in diesel-electric generating set, 10MW",ade3de4e49c445b9a17555eb1caaea63,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",66b06a112545f0ad0024db21253d812d,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",54af61a205f1a48fcc8d0190a4adfd86,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",fcb0ad64d398bf60e527585b26ed6763,technosphere
"treatment of hard coal ash, residual material landfill","treatment of hard coal ash, residual material landfill",7d7236937f7fffa57abffacd994e6a62,technosphere
"carbon dioxide, captured at wood burning power plant 20 MW post, pipeline 200km, storage 1000m","carbon dioxide, captured at wood burning power plant 20 MW post, pipeline 200km, storage 1000m",ce4402ece1e442339da3a54da157b5ea,technosphere
"carbon dioxide, captured from lignite, post, pipeline 200km, storage 1000m","carbon dioxide, captured from lignite, post, pipeline 200km, storage 1000m",e373aa92e2c5469b963ec7de81268c82,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",5fb5d50243cd00a8e790b8fc90953abf,technosphere
"steel production, electric, chromium steel 18/8","steel production, electric, chromium steel 18/8",6dc8f9caddc94e1890a06f6315a12aba,technosphere
"steel production, electric, chromium steel 18/8","steel production, electric, chromium steel 18/8",ee35656ca22447a6affb4163c0b4fca3,technosphere
"treatment of aluminium scrap, new, at refiner","treatment of aluminium scrap, new, at refiner",7db668a9e745fa8377c1f94094138dd5,technosphere
market for hard coal,market for hard coal,4aa576661bce68bde29b63cac29307c0,technosphere
"polyethylene production, low density, granulate","polyethylene production, low density, granulate",f82311a3f4f8e470124ab25e3610eb4a,technosphere
"market for wind power plant, 2MW, offshore, moving parts","market for wind power plant, 2MW, offshore, moving parts",fa427b76621d3abbeb81d999a30162b5,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",42c97512f78afea88b5a342c3331ed61,technosphere
"market for biomass, used as fuel","market for biomass, used as fuel",20d45f8da60b4f2784c8de1a39ff55e1,technosphere
primary zinc production from concentrate,primary zinc production from concentrate,a0edcd8d0cb763ff1a5da9c213e37e16,technosphere
Electricity production_Offshore_wind_ReEDS,Electricity production_Offshore_wind_ReEDS,fb9f3f5f-8ff2-4377-aa2d-14adf480c2cb,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",c1b591b09a9756c261b0c4c00a4e2c6b,technosphere
"steel production, converter, low-alloyed","steel production, converter, low-alloyed",24a810421c2f45b7a2db45ee84e9351c,technosphere
"treatment of wood ash mixture, pure, sanitary landfill","treatment of wood ash mixture, pure, sanitary landfill",17e5ff691a9b447b2bf186ec71521d3b,technosphere
"carbon dioxide, captured from hard coal-fired power plant, post, pipeline 200km, storage 1000m","carbon dioxide, captured from hard coal-fired power plant, post, pipeline 200km, storage 1000m",e888957b9a2e402d9c91b558e186701c,technosphere
market for municipal solid waste,market for municipal solid waste,66aa2758502324382e016998f16da238,technosphere
market for lead,market for lead,0c4cc4e510143d874aff0f62edf4572a,technosphere
"market for transport, freight train","market for transport, freight train",1a5c358fe12bfebc73011d87897c4d89,technosphere
"steel production, converter, low-alloyed","steel production, converter, low-alloyed",298ae3ed3b9580cf18ccf997ae89eb05,technosphere
"carbon dioxide, captured at wood burning power plant 20 MW post, pipeline 200km, storage 1000m","carbon dioxide, captured at wood burning power plant 20 MW post, pipeline 200km, storage 1000m",ee77ed756b6c41f9890518d7479c313a,technosphere
market for municipal solid waste,market for municipal solid waste,eaafff7b9fea9e0650455b2c0e2fab08,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",dbb173240e27173b21799c625af2882c,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",9fa623466ef1ba57a73387482f269904,technosphere
"market for cement, Portland","market for cement, Portland",940f98528c8ed7af9852933522bdc2f7,technosphere
"market for cement, Portland","market for cement, Portland",78fc166e59a84703a03a6e510634ee1c,technosphere
market for municipal solid waste,market for municipal solid waste,32198b9d56044555537f67aecd112972,technosphere
"lime production, milled, loose","lime production, milled, loose",a61a1f1cc18395ae96c698b465c054a8,technosphere
"market for steel, low-alloyed","market for steel, low-alloyed",f99ad20c9ea74364be2d92196aa7abef,technosphere
"market for sodium hypochlorite, without water, in 15% solution state","market for sodium hypochlorite, without water, in 15% solution state",53ccacf9d8bddf0b038d4fabe67173d0,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",4909bc790eda6a99f89ce9e71c5918da,technosphere
"market for cement, Portland","market for cement, Portland",e5d4c37fb0b445f889d9b53e36d47d9e,technosphere
market for municipal solid waste,market for municipal solid waste,ab59e626bb2f2d9ccdaf9b9f97cf688c,technosphere
"market for cement, Portland","market for cement, Portland",01801290ef89cd97256127ac6afa3dc0,technosphere
"market for cement, Portland","market for cement, Portland",a6560ef1b7c54eb8b707ba9ce7353b22,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",bc7497f4e5934c741e72cfee500fa3cb,technosphere
market for light fuel oil,market for light fuel oil,334f777f541aed9b8d7a286f17fdd504,technosphere
"market for natural gas, high pressure","market for natural gas, high pressure",7754d80bdba701f1e82f654900b59af4,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",025ea19e7329b1440017c71ca4d896fd,technosphere
market for municipal solid waste,market for municipal solid waste,83e2dc21b7ec5902700c5ce8823a03ae,technosphere
"market for water, deionised","market for water, deionised",46b3236d2286d25928f1e101e5288c7c,technosphere
"carbon dioxide, captured from natural gas, post, 200km pipeline, storage 1000m","carbon dioxide, captured from natural gas, post, 200km pipeline, storage 1000m",f2663dfabea14aceb621b9cb49193b71,technosphere
"heat production, natural gas, at industrial furnace >100kW","heat production, natural gas, at industrial furnace >100kW",4c854b7af07783233ad92109eaa302ce,technosphere
"steel production, converter, low-alloyed","steel production, converter, low-alloyed",da9ed1bac90544038ed5bfa45de4cc69,technosphere
"market for natural gas, high pressure","market for natural gas, high pressure",e7b83f576ea7357c166816685b3ec142,technosphere
"steel production, converter, unalloyed","steel production, converter, unalloyed",e5ba1dc863cf4a3e9ab133e5d4162c58,technosphere
market for hard coal,market for hard coal,e946f4f11d98e472e6723631bdd74f19,technosphere
"carbon dioxide, captured from natural gas, post, 200km pipeline, storage 1000m","carbon dioxide, captured from natural gas, post, 200km pipeline, storage 1000m",92c78c8bf1ce42abaff13a2bd92b8964,technosphere
"steel production, converter, unalloyed","steel production, converter, unalloyed",867585840c7043f18efa75c722db08ee,technosphere
"transport, freight, lorry, unspecified, long haul","transport, freight, lorry, unspecified, long haul",e667d2105ea04926ba5bd98b7f7d20b1,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",e01d416c02ee97540266e4c39a69281e,technosphere
"steel production, electric, chromium steel 18/8","steel production, electric, chromium steel 18/8",7d700a7d619f49b7b84db87648ecc5c5,technosphere
primary zinc production from concentrate,primary zinc production from concentrate,a7bd39f266c867bd9c55ee5c702a39be,technosphere
"market for biomass, used as fuel","market for biomass, used as fuel",1675c2680de24c63a5008137889ff629,technosphere
"steel production, converter, unalloyed","steel production, converter, unalloyed",7b56cf804ae34aafb53c97f715c42fa2,technosphere
"carbon dioxide, captured from lignite, post, pipeline 200km, storage 1000m","carbon dioxide, captured from lignite, post, pipeline 200km, storage 1000m",48b041ba98b54a41abbc7dbf9cf11b04,technosphere
"steel production, converter, low-alloyed","steel production, converter, low-alloyed",3250b1e4fbe8449aae344072de4b8684,technosphere
"treatment of scrap steel, inert material landfill","treatment of scrap steel, inert material landfill",8ec313168d1f5338c39af25554c5f94e,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",08c6a050a477e870ecb62750d7c6104b,technosphere
market for hard coal,market for hard coal,31e7d8a0938ac1aeaaecb85d5e11b2d7,technosphere
"treatment of lignite ash, opencast refill","treatment of lignite ash, opencast refill",4c0a86ed7c45df5619f83107c606a70a,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",5bb70b6a353df4318cb3c052c935290d,technosphere
"carbon dioxide, captured at wood burning power plant 20 MW post, pipeline 200km, storage 1000m","carbon dioxide, captured at wood burning power plant 20 MW post, pipeline 200km, storage 1000m",a2d045a53eb04a7cb67822f363685b33,technosphere
"carbon dioxide, captured at wood burning power plant 20 MW post, pipeline 200km, storage 1000m","carbon dioxide, captured at wood burning power plant 20 MW post, pipeline 200km, storage 1000m",f9510c0bff0d4267bed0d983382eb3cb,technosphere
market for municipal solid waste,market for municipal solid waste,a9cf9dbbe62f31e35d984918704c7b5c,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",a6a07aaabb1c919397e9b26c21d18229,technosphere
"carbon dioxide, captured from lignite, post, pipeline 200km, storage 1000m","carbon dioxide, captured from lignite, post, pipeline 200km, storage 1000m",1a9e29285db0474c85d8d11392dd7bb9,technosphere
market for calcium chloride,market for calcium chloride,5b733bd7d61f47104ee9cba2613bd869,technosphere
"market for diesel, burned in diesel-electric generating set, 10MW","market for diesel, burned in diesel-electric generating set, 10MW",ce7c6db4135b4e388cac096fb31fd1fb,technosphere
"treatment of lignite ash, opencast refill","treatment of lignite ash, opencast refill",b635cce73bcd6e0f683dd3f3905d1d7a,technosphere
market for hard coal power plant,market for hard coal power plant,16927ce5d3f134f8cecfc6720f7e4402,technosphere
primary zinc production from concentrate,primary zinc production from concentrate,f70666fd3525d42ae645122a444d4c21,technosphere
"market for water, decarbonised","market for water, decarbonised",a613fc72828e0bdc39d299313f3b8c13,technosphere
"steel production, converter, unalloyed","steel production, converter, unalloyed",cdd13f11d578dbb9e6742f6c344c7574,technosphere
"steel production, converter, unalloyed","steel production, converter, unalloyed",74538da5691e4963903052d8fa075257,technosphere
"carbon dioxide, captured from hard coal-fired power plant, post, pipeline 200km, storage 1000m","carbon dioxide, captured from hard coal-fired power plant, post, pipeline 200km, storage 1000m",69cb99a62aea495e90173ee235dd3a60,technosphere
"carbon dioxide, captured from hard coal-fired power plant, post, pipeline 200km, storage 1000m","carbon dioxide, captured from hard coal-fired power plant, post, pipeline 200km, storage 1000m",b03eef0e18064b839b4d77be837cf2bb,technosphere
"market for nitrogen, liquid","market for nitrogen, liquid",5d74c2999d80fefeb4f5d9f2d32e9876,technosphere
"market for diesel, burned in diesel-electric generating set, 10MW","market for diesel, burned in diesel-electric generating set, 10MW",46e12b32e7c443f2bbaa36ed87d4a361,technosphere
"steel production, converter, unalloyed","steel production, converter, unalloyed",15f109e1462f48bfbbb704e945abbd05,technosphere
"market for cement, Portland","market for cement, Portland",19d4716870392733da04570709801e17,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",daeefe16b182aae77fc8a057ea807999,technosphere
market for municipal solid waste,market for municipal solid waste,d58cb560198d3dd27db714f6a1cc56e5,technosphere
"steel production, converter, low-alloyed","steel production, converter, low-alloyed",dbe668cfe28d45aeb7e5c5be8c473e71,technosphere
"treatment of hard coal ash, residual material landfill","treatment of hard coal ash, residual material landfill",331aeb5818849e5eac9c87e79481861c,technosphere
market for lignite,lignite mine operation,208fe80e8cf7c17a98363b0ab854c055,technosphere
"steel production, converter, unalloyed","steel production, converter, unalloyed",54d71467b1ae484781dca0b422b85781,technosphere
"steel production, converter, low-alloyed","steel production, converter, low-alloyed",68b6ee6f3f804e588f4def64adebf9fd,technosphere
primary zinc production from concentrate,primary zinc production from concentrate,174ccec43f88dcb3994fb2f049b81128,technosphere
"treatment of waste wood, untreated, sanitary landfill","treatment of waste wood, untreated, sanitary landfill",79d35254a94786ff0c75110114693655,technosphere
"steel production, electric, chromium steel 18/8","steel production, electric, chromium steel 18/8",549f3f9c384341588ed8959e5fe482d1,technosphere
"heat production, heavy fuel oil, at industrial furnace 1MW","heat production, heavy fuel oil, at industrial furnace 1MW",8e935903351e4ada34bee6a5a728f587,technosphere
"market for natural gas, high pressure","market for natural gas, high pressure",bbd31f9221795c2f74fe785e3b008c8c,technosphere
"carbon dioxide, captured from lignite, post, pipeline 200km, storage 1000m","carbon dioxide, captured from lignite, post, pipeline 200km, storage 1000m",9daee8b2065b4d69becae9d47a3cb403,technosphere
"market for biomass, used as fuel","market for biomass, used as fuel",ad80cf95001644608b104603f99c600c,technosphere
"market for transport, freight train","market for transport, freight train",d9d4e1dcabc015b33f923c8f0b06e4b5,technosphere
"steel production, converter, unalloyed","steel production, converter, unalloyed",a82121acd2da4b30b45bd3148d957e04,technosphere
"market for NOx retained, by selective catalytic reduction","market for NOx retained, by selective catalytic reduction",0b818bb692a5c0d5561ff917007a54f0,technosphere
"market for biomass, used as fuel","market for biomass, used as fuel",b43b3e8641c54d0388f611b0e6e68a4a,technosphere
"market for diesel, burned in diesel-electric generating set, 10MW","market for diesel, burned in diesel-electric generating set, 10MW",3dcb340cc694455faac7afd662b8d79b,technosphere
primary zinc production from concentrate,primary zinc production from concentrate,7bc91fbae5f7afd68bf7cd057cf3b3ee,technosphere
"treatment of aluminium scrap, new, at refiner","treatment of aluminium scrap, new, at refiner",54c6bc66d4236406d24a64cddfc95b6c,technosphere
"carbon dioxide, captured from lignite, post, pipeline 200km, storage 1000m","carbon dioxide, captured from lignite, post, pipeline 200km, storage 1000m",c5d65a877c3f45749503bca8b35803c7,technosphere
"market for biomass, used as fuel","market for biomass, used as fuel",2e29484e185c466e875dd3c55fc2e406,technosphere
"steel production, electric, chromium steel 18/8","steel production, electric, chromium steel 18/8",c33d1ae16b224e07b4f85eaf3628ae86,technosphere
market for municipal solid waste,market for municipal solid waste,5c314e83e90906b57894400dbc303cac,technosphere
market for municipal solid waste,market for municipal solid waste,1fb650cb323a2368ab6d056ac19374da,technosphere
"market for SOx retained, in lignite flue gas desulfurisation","market for SOx retained, in lignite flue gas desulfurisation",988d44c8a61177b5d37a481be42e9221,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",39dff52a957dae73bf344de0f137ce47,technosphere
"treatment of wood ash mixture, pure, municipal incineration","treatment of wood ash mixture, pure, municipal incineration",4935a75e9442e710de33ca06ed3e9f29,technosphere
"market for cement, Portland","market for cement, Portland",bcbfc539c9f9412cb22795b4af455ed0,technosphere
primary zinc production from concentrate,primary zinc production from concentrate,194e00efbeb081f9ff3e737a4bb29aa2,technosphere
market for fly ash and scrubber sludge,market for fly ash and scrubber sludge,df8b4af718ba9413a2f9a4cc00af5d16,technosphere
"market for nuclear fuel element, for pressure water reactor, UO2 4.2% & MOX","market for nuclear fuel element, for pressure water reactor, UO2 4.2% & MOX",dc636974e8476a3fc417c7d7b975bb7e,technosphere
"market for cement, Portland","market for cement, Portland",ba65bc8e5ce5f1a0e341d819471942bd,technosphere
"carbon dioxide, captured from lignite, post, pipeline 200km, storage 1000m","carbon dioxide, captured from lignite, post, pipeline 200km, storage 1000m",8b81b3f4480641e9b76fc600a84f38f1,technosphere
market for anionic resin,market for anionic resin,bcedd47bac7ad531783ae5c817aba02d,technosphere
"market for cement, Portland","market for cement, Portland",9fe5bded4d564ac3abfafb603fa89495,technosphere
"treatment of scrap steel, inert material landfill","treatment of scrap steel, inert material landfill",d6e7b82b5e097b24a507727bb8e98b64,technosphere
"steel production, converter, low-alloyed","steel production, converter, low-alloyed",6ef5c1ac5051407b9fbe224a40c31991,technosphere
"market for cement, Portland","market for cement, Portland",bb1dc4ef8edc47efb394b7d3e09c75c1,technosphere
"carbon dioxide, captured from hard coal-fired power plant, post, pipeline 200km, storage 1000m","carbon dioxide, captured from hard coal-fired power plant, post, pipeline 200km, storage 1000m",5f4aa3e722264384bcee322c7487f982,technosphere
